X19,X20,X21,X27,X29,X37,X41,X42,X43,X47,X49,X50,X51,X56,X67,X68,X69,X70,X72,X76,classe
0.5473,0.6107,0.4969,0.5779,0.5113,0.4463,0.4149,0.4689,0.4468,0.5443,0.5806,0.4163,0.552,0.7563,0.5055,0.3981,0.3987,0.4636,0.5827,0.5308,GO0005483@GO0000300@GO0042144@GO0006888
0.4865,0.4847,0.6625,0.4503,0.4575,0.3956,0.4141,0.6824,0.4631,0.4799,0.5412,0.4163,0.4798,0.8,0.3232,0.4691,0.5556,0.4818,0.6223,0.5367,GO0008599@GO0005634@GO0005737@GO0005977@GO0043161@GO0000723@GO0030437
0.4291,0.6603,0.5781,0.5612,0.5462,0.4703,0.4383,0.4755,0.4748,0.6151,0.5645,0.5882,0.6752,0.4437,0.4972,0.5093,0.5163,0.6818,0.6043,0.3372,GO0003674@GO0019898@GO0006612
0.3615,0.4771,0.5656,0.5797,0.5385,0.504,0.44,0.6235,0.5493,0.5299,0.3387,0.4434,0.4055,0.7933,0.3978,0.3302,0.268,0.4455,0.5252,0.5249,GO0008017@GO0005875@GO0005776@GO0000407@GO0006501@GO0006914@GO0006623
0.4899,0.4427,0.4812,0.5704,0.5142,0.5301,0.4235,0.5459,0.5443,0.3446,0.6487,0.5566,0.5393,0.7076,0.5414,0.6327,0.6373,0.7515,0.4101,0.2141,GO0005543@GO0005933@GO0005935@GO0007266@GO0030468
0.4503,0.6412,0.5187,0.6143,0.5729,0.5964,0.5553,0.5176,0.6675,0.5588,0.5986,0.4593,0.4904,0.5832,0.5055,0.4722,0.6242,0.6818,0.6223,0.2111,GO0005215@GO0005575@GO0006810
0.6081,0.7443,0.4656,0.6513,0.6012,0.4317,0.4588,0.5671,0.3867,0.4557,0.6362,0.4502,0.5541,0.9126,0.5387,0.7006,0.5588,0.6576,0.6115,0.4252,GO0003735@GO0005842@GO0006412
0.25,0.7214,0.5969,0.642,0.5324,0.5402,0.5106,0.6306,0.6724,0.5008,0.6685,0.4977,0.5541,0.6824,0.4613,0.5062,0.4869,0.6788,0.5971,0.3519,GO0016455@GO0000119@GO0005634@GO0006366
0.402,0.7748,0.6156,0.6282,0.666,0.6084,0.3929,0.3624,0.5172,0.3398,0.5609,0.4525,0.6263,0.6437,0.4254,0.5926,0.719,0.5909,0.6331,0.4604,GO0003674@GO0000799@GO0005634@GO0000070@GO0007076
0.5845,0.6145,0.6312,0.6975,0.5769,0.6446,0.5929,0.6682,0.6404,0.7166,0.6864,0.5023,0.4862,0.6958,0.4392,0.5648,0.2745,0.597,0.6115,0.4047,GO0017103@GO0005737@GO0019388
0.5811,0.6336,0.525,0.6674,0.3887,0.5522,0.4353,0.6024,0.4507,0.4589,0.7097,0.6176,0.5011,0.6403,0.4337,0.5093,0.5686,0.6121,0.6367,0.4604,GO0008415@GO0005811@GO0008654
0.4807,0.7672,0.5937,0.5242,0.4049,0.3755,0.4165,0.72,0.4852,0.5185,0.4857,0.4389,0.4246,0.7042,0.4669,0.4691,0.451,0.5394,0.6475,0.434,GO0051082@GO0005739@GO0005743@GO0006461
0.4865,0.8244,0.5562,0.5561,0.512,0.4405,0.4199,0.4807,0.4229,0.4026,0.5341,0.5249,0.603,0.6,0.3923,0.4568,0.4837,0.6152,0.741,0.5161,GO0003702@GO0003716@GO0005634@GO0006363@GO0006357
0.3953,0.0496,0.525,0.5713,0.5305,0.4637,0.4425,0.4711,0.4748,0.6329,0.4803,0.3778,0.3715,0.8151,0.3508,0.2778,0.3105,0.4485,0.6942,0.654,GO0003674@GO0005737@GO0008150
0.4865,0.645,0.5438,0.5902,0.5213,0.4556,0.4301,0.4614,0.4578,0.5008,0.5358,0.4005,0.4883,0.7697,0.4613,0.5093,0.5359,0.5727,0.7086,0.2463,GO0004672@GO0005935@GO0005737@GO0030036@GO0030100
0.4696,0.3779,0.6156,0.5714,0.5196,0.4308,0.4084,0.4929,0.4207,0.4895,0.6416,0.5498,0.552,0.6538,0.5055,0.7531,0.7876,0.7455,0.4964,0.3021,GO0008175@GO0005737@GO0006412@GO0030488
0.5135,0.5763,0.4,0.5774,0.3684,0.4538,0.3953,0.5906,0.4877,0.4654,0.7885,0.595,0.6136,0.7143,0.5552,0.7901,0.7386,0.8515,0.6295,0.1935,GO0008094@GO0003916@GO0005634@GO0000727@GO0007131@GO0030491@GO0045144
0.5,0.3092,0.2937,0.3788,0.1741,0.5562,0.1106,0.4188,0.3966,0.4219,0.8423,0.7149,0.5563,0.7983,0.5414,0.858,0.8366,0.9303,0.7086,0.2874,GO0030337@GO0043626@GO0005634@GO0005657@GO0006280@GO0006284@GO0006289@GO0006298@GO0006301@GO0006348@GO0030466@GO0006272@GO0006273
0.4932,0.4618,0.6062,0.6031,0.5495,0.4799,0.4411,0.4651,0.4514,0.3591,0.7097,0.5249,0.4268,0.6101,0.4586,0.7037,0.7974,0.6,0.4712,0.39,GO0005342@GO0005739@GO0006839
0.4764,0.4122,0.5719,0.5473,0.5688,0.5482,0.5506,0.5224,0.5025,0.6683,0.7993,0.7262,0.6391,0.516,0.5304,0.6389,0.7026,0.4758,0.4676,0.3402,GO0003674@GO0016023@GO0019898@GO0016192@GO0045721
0.4696,0.5153,0.5531,0.7829,0.8502,0.6807,0.6565,0.6471,0.6724,0.5539,0.6183,0.5928,0.4395,0.6639,0.4641,0.571,0.5163,0.5394,0.6079,0.3959,GO0019187@GO0005783@GO0016021@GO0006490@GO0006487
0.375,0.7099,0.5531,0.559,0.5204,0.4303,0.4141,0.4767,0.4198,0.5089,0.6416,0.4751,0.4692,0.642,0.5028,0.6296,0.5163,0.5818,0.4676,0.39,GO0003723@GO0005685@GO0000398
0.4257,0.6718,0.6437,0.5652,0.5288,0.4446,0.4198,0.4841,0.4517,0.5539,0.5018,0.405,0.5244,0.7731,0.3343,0.4784,0.6569,0.8364,0.4928,0.3167,GO0003674@GO0005739@GO0006412
0.598,0.7786,0.525,0.6028,0.5547,0.4297,0.44,0.5788,0.3621,0.4509,0.4875,0.5294,0.6327,0.7378,0.5221,0.5648,0.5033,0.603,0.6475,0.4868,GO0003709@GO0000127@GO0006384
0.4966,0.5,0.6094,0.576,0.5371,0.4663,0.4413,0.4781,0.471,0.5266,0.6487,0.5317,0.4926,0.6521,0.5552,0.5895,0.5915,0.6394,0.5791,0.2581,GO0005085@GO0005770@GO0005773@GO0016020@GO0006914@GO0000046@GO0048278@GO0006623
0.6216,0.5687,0.6219,0.6328,0.5081,0.4197,0.4424,0.4847,0.3744,0.5443,0.6505,0.6086,0.5605,0.7076,0.4227,0.5556,0.4608,0.5667,0.6871,0.5718,GO0043130@GO0030295@GO0005634@GO0005737@GO0006350@GO0000074
0.4806,0.6336,0.4781,0.679,0.7004,0.51,0.5247,0.84,0.6798,0.4219,0.3961,0.3824,0.4246,0.6857,0.2348,0.4259,0.3333,0.6091,0.6367,0.5044,GO0003674@GO0005737@GO0008150
0.4865,0.6183,0.4625,0.5921,0.5221,0.4336,0.4171,0.3755,0.4483,0.4557,0.5341,0.5158,0.482,0.6874,0.4641,0.5309,0.4379,0.6152,0.6007,0.522,GO0004022@GO0005634@GO0005737@GO0043458@GO0006116
0.5,0.4427,0.6562,0.5385,0.5223,0.4438,0.4941,0.4118,0.5345,0.4815,0.638,0.5317,0.5605,0.7345,0.4613,0.6327,0.7288,0.5303,0.4101,0.261,GO0003899@GO0005665@GO0005666@GO0005736@GO0006360@GO0006366@GO0006383
0.5845,0.6107,0.3781,0.6467,0.5101,0.6225,0.4659,0.4635,0.4729,0.3607,0.7473,0.6131,0.4119,0.7025,0.4613,0.6389,0.5229,0.6697,0.5216,0.4604,GO0000030@GO0000324@GO0006688
0.5473,0.7099,0.5344,0.6975,0.5283,0.3876,0.2659,0.6259,0.1626,0.4605,0.6326,0.5158,0.5648,0.7966,0.4779,0.6914,0.5686,0.7242,0.5504,0.3724,GO0003674@GO0005783@GO0009306
0.5135,0.5153,0.6187,0.5774,0.5081,0.3614,0.3929,0.5624,0.266,0.5282,0.5806,0.5113,0.5881,0.6992,0.5138,0.6512,0.4118,0.5364,0.6619,0.4604,GO0003674@GO0005737@GO0007010
0.4764,0.6489,0.4781,0.7367,0.6336,0.5703,0.6024,0.5435,0.564,0.3849,0.69,0.6018,0.5478,0.521,0.5331,0.6759,0.5033,0.5303,0.5468,0.4164,GO0003674@GO0005730@GO0040020
0.4662,0.5344,0.5094,0.5951,0.4588,0.4893,0.4426,0.4657,0.5567,0.504,0.6147,0.5837,0.6157,0.7933,0.5994,0.5741,0.5948,0.5394,0.6043,0.2581,GO0043115@GO0004325@GO0005575@GO0019354@GO0000103@GO0042493
0.375,0.6641,0.5156,0.5427,0.5425,0.4157,0.4259,0.5765,0.4754,0.4493,0.7527,0.586,0.6136,0.7664,0.453,0.5216,0.6601,0.5303,0.6367,0.1906,GO0003674@GO0005737@GO0008150
0.4291,0.6985,0.4906,0.5539,0.5039,0.4225,0.4209,0.4946,0.3907,0.5089,0.5735,0.5226,0.4862,0.6739,0.4309,0.5062,0.4967,0.5273,0.6187,0.5015,GO0004482@GO0016591@GO0005634@GO0006370
0.2061,0.6908,0.35,0.7413,0.5081,0.6165,0.5741,0.5647,0.5862,0.6473,0.6344,0.5882,0.4246,0.716,0.5138,0.3426,0.3399,0.397,0.6727,0.6686,GO0003674@GO0000329@GO0008150
0.4662,0.4885,0.4531,0.5562,0.4984,0.4513,0.4244,0.4781,0.4533,0.5507,0.6147,0.5656,0.5011,0.6857,0.4448,0.5741,0.6242,0.6152,0.6367,0.4282,GO0004672@GO0005634@GO0006468@GO0000077
0.4392,0.4198,0.5031,0.5289,0.4474,0.3755,0.4071,0.5082,0.3916,0.4283,0.7545,0.6538,0.62,0.716,0.4365,0.6296,0.585,0.5879,0.6475,0.261,GO0042162@GO0005515@GO0000783@GO0006348@GO0007004
0.4189,0.5076,0.4719,0.4826,0.4444,0.4561,0.3395,0.4296,0.4441,0.4702,0.7652,0.6199,0.4331,0.684,0.5442,0.5679,0.598,0.6576,0.4784,0.4252,GO0003893@GO0008622@GO0005657@GO0006289@GO0006298@GO0006348@GO0006272@GO0006273
0.3716,0.6527,0.5625,0.4226,0.5749,0.4357,0.2776,0.7247,0.3596,0.4654,0.4821,0.4412,0.4798,0.6571,0.4088,0.4475,0.4673,0.4848,0.5504,0.5191,GO0016944@GO0016593@GO0005634@GO0016571@GO0006310@GO0006368@GO0000723
0.4561,0.6221,0.5156,0.5751,0.5385,0.5482,0.5882,0.5271,0.4877,0.4734,0.6093,0.5566,0.5011,0.7613,0.5994,0.4444,0.3333,0.4242,0.4892,0.5161,GO0004177@GO0000324@GO0007039@GO0000723
0.4054,0.4198,0.5094,0.5358,0.5304,0.5763,0.4824,0.4,0.564,0.475,0.6595,0.6199,0.5648,0.7261,0.4586,0.5617,0.5425,0.5758,0.5576,0.4751,GO0003674@GO0009277@GO0008150
0.5169,0.6985,0.4812,0.3926,0.666,0.467,0.4379,0.4982,0.4823,0.6409,0.4677,0.5385,0.5669,0.6118,0.5331,0.5247,0.5163,0.6061,0.446,0.434,GO0005515@GO0000813@GO0005768@GO0043162@GO0000723@GO0006612@GO0006623
0.527,0.5,0.5719,0.6536,0.585,0.6145,0.4729,0.2776,0.3842,0.3607,0.1846,0.3122,0.4204,0.7294,0.4309,0.5123,0.5261,0.6333,0.6223,0.4575,GO0005296@GO0005886@GO0006865
0.2872,0.7099,0.475,0.4342,0.4231,0.5301,0.4518,0.6894,0.8867,0.6683,0.7652,0.5995,0.3418,0.6605,0.5138,0.6512,0.6961,0.6818,0.3777,0.2639,GO0003674@GO0005886@GO0043332@GO0000747@GO0031385
0.3851,0.6107,0.475,0.5104,0.502,0.4398,0.4,0.6376,0.3818,0.5958,0.6595,0.5339,0.5117,0.7294,0.6436,0.5185,0.4314,0.4939,0.4496,0.4399,GO0030508@GO0004602@GO0004364@GO0005634@GO0005737@GO0006979@GO0030503
0.4797,0.7977,0.4844,0.6998,0.5789,0.4418,0.48,0.4071,0.3276,0.4074,0.5717,0.4864,0.6221,0.7008,0.6492,0.6667,0.719,0.7303,0.5036,0.349,GO0003723@GO0005844@GO0006412@GO0042254
0.5135,0.4847,0.6062,0.642,0.6053,0.4498,0.5765,0.4376,0.5468,0.467,0.5143,0.5068,0.4246,0.7697,0.4503,0.4599,0.4248,0.5242,0.6367,0.4282,GO0003674@GO0005774@GO0016021@GO0006914@GO0006623
0.1486,0.5305,0.5719,0.6651,0.7591,0.5984,0.6635,0.5859,0.7094,0.6554,0.5896,0.6403,0.5329,0.6387,0.3785,0.6327,0.6078,0.6727,0.4892,0.1818,GO0003674@GO0005886@GO0030476
0.3547,0.3969,0.6031,0.4457,0.5526,0.3876,0.3435,0.2306,0.5985,0.5378,0.6416,0.4299,0.4331,0.6588,0.5028,0.6389,0.6601,0.5576,0.2518,0.3284,GO0003713@GO0005634@GO0007532@GO0006357
0.4696,0.4924,0.5969,0.6859,0.5121,0.2992,0.4424,0.3553,0.2808,0.4605,0.5968,0.5543,0.5117,0.679,0.5691,0.6327,0.6144,0.6636,0.3741,0.2962,GO0004672@GO0005575@GO0030003@GO0000082
0.2939,0.6565,0.5688,0.5473,0.5567,0.5643,0.4518,0.4941,0.4113,0.5717,0.5341,0.5226,0.5987,0.7311,0.5276,0.642,0.5719,0.6667,0.3993,0.3284,GO0003890@GO0005634@GO0006303@GO0006287
0.4358,0.5496,0.5062,0.5727,0.5668,0.5201,0.6847,0.4918,0.5764,0.5339,0.6022,0.5928,0.4841,0.521,0.3425,0.0957,0.0915,0.2394,0.4568,0.393,GO0003674@GO0005886@GO0006950
0.5338,0.416,0.5969,0.6998,0.5364,0.5221,0.4847,0.3624,0.5025,0.5233,0.5233,0.4729,0.4522,0.6706,0.3508,0.5309,0.4248,0.503,0.7014,0.5513,GO0003674@GO0005739@GO0000300@GO0005625@GO0007047@GO0009268
0.4392,0.6527,0.54,0.4365,0.4777,0.1345,0.2447,0.6965,0.4335,0.5169,0.5896,0.4887,0.5117,0.763,0.5773,0.5833,0.5,0.5939,0.4065,0.3636,GO0008301@GO0003714@GO0005634@GO0007535@GO0007532@GO0006357
0.4696,0.5229,0.5031,0.5196,0.6154,0.4257,0.4776,0.48,0.6502,0.5652,0.5932,0.5837,0.4989,0.595,0.4144,0.534,0.4837,0.5273,0.6583,0.5367,GO0016455@GO0005667@GO0000723@GO0000122
0.4628,0.6985,0.55,0.5612,0.5283,0.4096,0.4729,0.44,0.33,0.4251,0.6326,0.6222,0.5711,0.6286,0.453,0.534,0.6078,0.7,0.5432,0.349,GO0016565@GO0005634@GO0016584@GO0016481
0.4459,0.6527,0.5125,0.5635,0.532,0.4573,0.4394,0.4753,0.4389,0.4557,0.6792,0.6154,0.5563,0.6168,0.4282,0.6204,0.6438,0.7455,0.4928,0.3695,GO0003674@GO0005635@GO0000778@GO0005730@GO0006260@GO0045132@GO0000723@GO0045143@GO0042493
0.3784,0.5687,0.5594,0.6005,0.4798,0.5221,0.4212,0.5624,0.5493,0.4235,0.7258,0.638,0.397,0.6756,0.2486,0.6204,0.585,0.6697,0.5036,0.3695,GO0015071@GO0005634@GO0005737@GO0006470@GO0006388@GO0000001@GO0000723@GO0000173
0.4054,0.4695,0.4406,0.5782,0.5279,0.478,0.4523,0.4771,0.4915,0.4718,0.7903,0.6855,0.5478,0.7176,0.2514,0.5185,0.6405,0.7364,0.5504,0.4106,GO0003674@GO0000324@GO0008150
0.5034,0.3855,0.575,0.4804,0.4069,0.4157,0.3224,0.4047,0.5,0.5262,0.4462,0.371,0.4076,0.8336,0.442,0.3827,0.3464,0.3333,0.5036,0.5161,GO0004367@GO0005777@GO0005829@GO0006116@GO0006973
0.4899,0.5992,0.6344,0.7321,0.583,0.6104,0.5435,0.5553,0.5788,0.4734,0.6505,0.6176,0.4671,0.6,0.279,0.3951,0.549,0.6242,0.5719,0.4516,GO0003841@GO0005811@GO0030148
0.4358,0.4771,0.5031,0.5289,0.4696,0.4839,0.4988,0.4682,0.3621,0.5845,0.5573,0.5452,0.5775,0.6252,0.384,0.5833,0.5033,0.5818,0.5863,0.346,GO0008135@GO0005761@GO0005739@GO0005743@GO0006412
0.5541,0.6832,0.5625,0.5881,0.5463,0.4143,0.3843,0.4988,0.404,0.4702,0.6685,0.6018,0.5796,0.3647,0.5691,0.5617,0.7092,0.7364,0.4928,0.3226,GO0003735@GO0005842@GO0006412
0.5507,0.6412,0.65,0.6282,0.5688,0.3534,0.3671,0.7012,0.3842,0.4477,0.672,0.5407,0.5478,0.8319,0.5276,0.6451,0.6732,0.7152,0.5719,0.3607,GO0003735@GO0005842@GO0006412
0.4561,0.8092,0.5969,0.5335,0.5547,0.2791,0.4565,0.3506,0.3867,0.4734,0.6326,0.5747,0.4437,0.6454,0.6105,0.7562,0.6307,0.7061,0.4604,0.2229,GO0000175@GO0000176@GO0000177@GO0006402@GO0006365
0.5574,0.5076,0.575,0.6467,0.6032,0.2068,0.2988,0.4706,0.2857,0.4525,0.6201,0.5543,0.5563,0.6941,0.5994,0.6975,0.6536,0.6545,0.5144,0.3284,GO0004410@GO0005634@GO0019878
0.4189,0.3473,0.5406,0.5589,0.504,0.3715,0.1812,0.56,0.3892,0.4831,0.6613,0.5973,0.535,0.6672,0.3757,0.5031,0.6307,0.6242,0.7662,0.4663,GO0005094@GO0004871@GO0005934@GO0005935@GO0005829@GO0007264@GO0007015
0.4392,0.5611,0.4812,0.5726,0.532,0.4756,0.4359,0.478,0.4905,0.4316,0.7186,0.5882,0.3715,0.637,0.4088,0.642,0.5458,0.6788,0.4604,0.3548,GO0003674@GO0005634@GO0007131
0.4257,0.4695,0.5906,0.5772,0.4956,0.4496,0.4172,0.4965,0.4388,0.4348,0.5538,0.4955,0.535,0.6807,0.4199,0.5679,0.5327,0.6,0.536,0.437,GO0030276@GO0030479@GO0007015@GO0000147@GO0006897
0.3378,0.5038,0.5656,0.6133,0.5202,0.3661,0.366,0.469,0.404,0.4654,0.6326,0.5249,0.3121,0.6168,0.3011,0.5988,0.6176,0.7212,0.5576,0.393,GO0004458@GO0003779@GO0005739@GO0005759@GO0006089
0.5642,0.6336,0.525,0.5649,0.4741,0.4394,0.4083,0.4554,0.4021,0.496,0.6022,0.586,0.5329,0.7613,0.4558,0.5463,0.4935,0.6697,0.6691,0.4575,GO0004520@GO0046961@GO0000221@GO0000329@GO0019538@GO0006314@GO0007035
0.348,0.5458,0.5125,0.5012,0.5162,0.5321,0.5224,0.6424,0.5443,0.4509,0.6649,0.6154,0.5414,0.6202,0.3122,0.4444,0.5523,0.6606,0.5,0.4223,GO0005355@GO0005536@GO0004872@GO0005886@GO0007165@GO0009749
0.4459,0.5573,0.5594,0.5572,0.5239,0.4535,0.4291,0.4715,0.4602,0.3833,0.5,0.5,0.5011,0.6286,0.1878,0.4969,0.6503,0.8,0.6619,0.4164,GO0001409@GO0005739@GO0005743@GO0000002@GO0006879@GO0001408
0.4054,0.8626,0.3531,0.5722,0.5076,0.4485,0.4218,0.4666,0.439,0.4219,0.6237,0.4796,0.3376,0.6118,0.6133,0.5957,0.5359,0.5879,0.5504,0.4135,GO0004418@GO0005634@GO0005737@GO0006783
0.5642,0.4847,0.6094,0.5975,0.5356,0.4518,0.3736,0.3824,0.5187,0.6473,0.5538,0.586,0.5244,0.721,0.489,0.6235,0.5948,0.4909,0.4353,0.3548,GO0015495@GO0015489@GO0000329@GO0015847
0.4899,0.3969,0.5875,0.6397,0.5749,0.4839,0.3882,0.3741,0.5591,0.5217,0.5824,0.5294,0.5605,0.6807,0.4779,0.5802,0.5588,0.5758,0.4928,0.3636,GO0016772@GO0005737@GO0007234
0.5034,0.6145,0.6344,0.4781,0.4636,0.3655,0.2306,0.5576,0.3547,0.4106,0.6254,0.5249,0.5117,0.721,0.5276,0.6019,0.6863,0.7061,0.4928,0.3812,GO0008536@GO0005634@GO0005737@GO0006511@GO0000082@GO0006606@GO0006405
0.4324,0.5916,0.5719,0.582,0.5749,0.496,0.4051,0.5365,0.4901,0.4589,0.7814,0.595,0.3079,0.5513,0.5193,0.4877,0.5654,0.6636,0.5072,0.3607,GO0008094@GO0046982@GO0033062@GO0005634@GO0000707@GO0045002@GO0000722@GO0030491
0.5304,0.6412,0.5125,0.7321,0.6721,0.5763,0.4753,0.6024,0.4498,0.4364,0.4104,0.405,0.518,0.7261,0.4448,0.5,0.4902,0.597,0.6007,0.3666,GO0008559@GO0005739@GO0005886@GO0000304@GO0042493
0.5304,0.7176,0.4812,0.612,0.4838,0.3494,0.3553,0.64,0.335,0.4316,0.6237,0.5317,0.5626,0.6992,0.5635,0.5525,0.6209,0.7061,0.4748,0.3343,GO0004828@GO0005737@GO0006434
0.5304,0.6756,0.4906,0.7044,0.6781,0.5924,0.5859,0.5906,0.6429,0.4461,0.4928,0.5158,0.552,0.6739,0.4641,0.4691,0.5719,0.6545,0.6403,0.4604,GO0003674@GO0000938@GO0005739@GO0005794@GO0000723@GO0042147@GO0006896
0.4595,0.6832,0.5406,0.6859,0.6599,0.6787,0.4776,0.5553,0.5985,0.4412,0.5197,0.4774,0.535,0.5681,0.4669,0.5,0.5261,0.603,0.5612,0.522,GO0008599@GO0000164@GO0005737@GO0005977@GO0007039@GO0006109@GO0000122
0.4291,0.416,0.7219,0.6028,0.7733,0.255,0.7647,0.4518,0.6576,0.4251,0.4821,0.3348,0.3142,0.8773,0.4503,0.4784,0.3007,0.4606,0.6655,0.5484,GO0003674@GO0005739@GO0005886@GO0008150
0.4662,0.4313,0.4906,0.5635,0.4615,0.3133,0.3035,0.4376,0.4015,0.4461,0.4803,0.4299,0.3949,0.7193,0.3646,0.5031,0.5163,0.5758,0.5468,0.4633,GO0003735@GO0005763@GO0005739@GO0006412
0.375,0.5191,0.4562,0.5866,0.6903,0.2932,0.7035,0.4776,0.5862,0.4767,0.5986,0.4977,0.4713,0.8168,0.5083,0.4599,0.4346,0.5758,0.4928,0.5015,GO0005199@GO0005840@GO0005739@GO0009277@GO0000002@GO0007047
0.3581,0.3168,0.5031,0.485,0.4514,0.3313,0.3906,0.5553,0.5222,0.5878,0.5179,0.4548,0.5011,0.7244,0.4088,0.537,0.415,0.5727,0.5288,0.5103,GO0005057@GO0001400@GO0000750@GO0000767@GO0008277
0.4122,0.5916,0.5,0.6005,0.5202,0.4277,0.5388,0.5318,0.4778,0.649,0.6918,0.6471,0.5202,0.6319,0.547,0.5772,0.4575,0.6394,0.554,0.4516,GO0003674@GO0005739@GO0007047
0.4831,0.4656,0.5406,0.5381,0.4555,0.3554,0.4447,0.5412,0.3966,0.4831,0.5502,0.5136,0.4352,0.6605,0.4558,0.5031,0.4118,0.5667,0.554,0.4076,GO0051015@GO0030674@GO0030479@GO0030482@GO0007121@GO0007015@GO0006897@GO0006970
0.5034,0.6489,0.5594,0.4203,0.5729,0.4036,0.5176,0.5506,0.3941,0.3784,0.5538,0.4842,0.5414,0.6101,0.4199,0.534,0.5033,0.6242,0.6187,0.4135,GO0004103@GO0004305@GO0005737@GO0006646
0.4899,0.4504,0.575,0.4758,0.7794,0.3153,0.4871,0.5459,0.4409,0.5523,0.595,0.6312,0.5032,0.563,0.4586,0.6574,0.4771,0.6061,0.536,0.4018,GO0003700@GO0005634@GO0006350@GO0006879
0.5135,0.6183,0.4906,0.5427,0.5081,0.3474,0.3176,0.6471,0.2586,0.4605,0.5699,0.5226,0.4947,0.6454,0.4834,0.5216,0.5033,0.6091,0.5576,0.5367,GO0016251@GO0000124@GO0046695@GO0005669@GO0016573@GO0006367@GO0000114
0.4662,0.5573,0.4938,0.5566,0.4858,0.3775,0.3929,0.6259,0.3645,0.5717,0.6774,0.595,0.4565,0.6891,0.4834,0.429,0.4608,0.5091,0.5647,0.5249,GO0003674@GO0005737@GO0008150
0.5203,0.6832,0.5469,0.4827,0.3806,0.4538,0.3671,0.6259,0.2389,0.3591,0.7133,0.5724,0.4225,0.6639,0.4807,0.5833,0.7157,0.6212,0.536,0.4428,GO0003747@GO0018444@GO0005829@GO0000288@GO0006415
0.4797,0.4504,0.4938,0.5104,0.4757,0.259,0.2094,0.5435,0.2783,0.4944,0.5878,0.543,0.5159,0.7193,0.4365,0.5247,0.4314,0.5879,0.5576,0.5279,GO0004842@GO0000502@GO0030433@GO0000209@GO0006513@GO0042787@GO0016050@GO0006897@GO0009847
0.3953,0.4733,0.5719,0.5173,0.5182,0.3273,0.4,0.5459,0.4113,0.5266,0.5609,0.5747,0.4544,0.5429,0.4199,0.6142,0.4673,0.6091,0.5899,0.5103,GO0004406@GO0000784@GO0000790@GO0006348
